
2024/12/11 (16:00:29) | ===> btop++ v.1.4.0
2024/12/11 (16:00:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (16:00:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (09:54:40) | ===> btop++ v.1.4.0
2024/12/12 (09:54:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (09:54:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (09:37:05) | ===> btop++ v.1.4.0
2024/12/13 (09:37:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (09:37:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (10:27:33) | ===> btop++ v.1.4.0
2024/12/13 (10:27:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (10:27:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (10:27:43) | ===> btop++ v.1.4.0
2024/12/13 (10:27:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (10:27:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (11:53:36) | ===> btop++ v.1.4.0
2024/12/13 (11:53:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (11:53:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (16:36:27) | ===> btop++ v.1.4.0
2024/12/17 (16:36:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (16:36:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (17:10:03) | ===> btop++ v.1.4.0
2024/12/17 (17:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (17:10:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (08:51:22) | ===> btop++ v.1.4.0
2024/12/18 (08:51:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (08:51:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (14:46:57) | ===> btop++ v.1.4.0
2024/12/18 (14:46:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (14:46:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (16:31:37) | ===> btop++ v.1.4.0
2024/12/18 (16:31:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (16:31:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (07:59:40) | ===> btop++ v.1.4.0
2024/12/19 (07:59:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (07:59:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (18:02:13) | ===> btop++ v.1.4.0
2024/12/20 (18:02:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/20 (18:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (19:56:05) | ===> btop++ v.1.4.0
2024/12/21 (19:56:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/21 (19:56:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (19:57:54) | ===> btop++ v.1.4.0
2024/12/21 (19:57:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/21 (19:57:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (19:58:00) | ===> btop++ v.1.4.0
2024/12/21 (19:58:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/21 (19:58:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (19:33:42) | ===> btop++ v.1.4.0
2024/12/23 (19:33:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (19:33:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (20:09:34) | ===> btop++ v.1.4.0
2024/12/23 (20:09:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (20:09:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (09:55:23) | ===> btop++ v.1.4.0
2024/12/24 (09:55:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (09:55:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (09:58:31) | ===> btop++ v.1.4.0
2024/12/24 (09:58:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (09:58:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (10:02:05) | ===> btop++ v.1.4.0
2024/12/24 (10:02:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (10:02:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (10:25:56) | ===> btop++ v.1.4.0
2024/12/24 (10:25:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (10:25:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (18:31:10) | ===> btop++ v.1.4.0
2024/12/24 (18:31:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (18:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (20:05:34) | ===> btop++ v.1.4.0
2024/12/24 (20:05:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/24 (20:05:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (15:25:00) | ===> btop++ v.1.4.0
2024/12/25 (15:25:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/25 (15:25:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (18:19:02) | ===> btop++ v.1.4.0
2025/01/08 (18:19:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (18:19:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:37:37) | ===> btop++ v.1.4.0
2025/01/08 (19:37:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (19:37:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (20:55:15) | ===> btop++ v.1.4.0
2025/01/08 (20:55:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (20:55:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (21:41:18) | ===> btop++ v.1.4.0
2025/01/08 (21:41:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (21:41:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:09:23) | ===> btop++ v.1.4.0
2025/01/08 (22:09:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (22:09:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:59:06) | ===> btop++ v.1.4.0
2025/01/08 (22:59:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (22:59:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (23:01:21) | ===> btop++ v.1.4.0
2025/01/08 (23:01:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (23:01:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (23:05:36) | ===> btop++ v.1.4.0
2025/01/08 (23:05:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (23:05:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (01:36:46) | ===> btop++ v.1.4.0
2025/01/09 (01:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (01:36:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (05:34:59) | ===> btop++ v.1.4.0
2025/01/09 (05:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (05:34:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/09 (16:32:41) | ERROR: Stall in Runner thread, restarting!

2025/01/09 (20:21:13) | ===> btop++ v.1.4.0
2025/01/09 (20:21:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (20:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:18:28) | ===> btop++ v.1.4.0
2025/01/11 (20:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:19:05) | ===> btop++ v.1.4.0
2025/01/11 (20:19:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:19:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:19:17) | ===> btop++ v.1.4.0
2025/01/11 (20:19:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:19:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (06:21:59) | ===> btop++ v.1.4.0
