[2025-01-08 21:07:40.217] [info]  DiscordSplash.signalReady
[2025-01-08 21:07:40.223] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-08 21:07:40.224] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-08 21:07:40.224] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-08 21:07:40.224] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-08 21:07:40.239] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-08 21:07:40.239] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-08 21:07:40.240] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-08 21:07:40.240] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-08 21:07:40.240] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-08 21:07:40.240] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-08 21:07:40.241] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-08 21:07:40.241] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-08 21:07:40.241] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-08 21:07:40.241] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-08 21:07:41.216] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-08 21:07:42.217] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-08 21:07:43.217] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-08 21:07:44.217] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-08 21:07:45.217] [info]  Splash.updateCountdownSeconds: undefined
